Common Fish Name,Temperament,Grows To,Starting Tank Size,Typical Color,CB's Recommended Fish Food,Fish Care Notes,Temperature Range,Water PH,Water KH,Origin,Plant Safety,Scientific Name,QR,SKU
Discus Melon Yellow (Medium),Semi-aggressive,"4""",29 Gallon,Solid un-barred bright pastel lemon yellow,"Omnivore. Frozen Blood Heart, Hikari Frozen Bloodworms, Sera Discus Granules, VibraBites",Melon Yellow discus; same care requirements as all discus. Sensitive to water quality. Excellent in planted tanks.,82-90°F,6.5-7.0,1-4 dKH,South America (Amazon Basin),Safe,Symphysodon discus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Discus Melon Yellow (Medium).html,DI18
Discus Snakeskin Red (Large),Semi-aggressive,"6""",55 Gallon,Intricate labyrinth blue lines over a deep solid red base,"Omnivore. Frozen Blood Heart, Hikari Frozen Bloodworms, Sera Discus Granules, VibraBites","Snakeskin discus pattern; same temperament and planted-tank suitability. Pristine, warm water essential.",82-90°F,6.5-7.0,1-4 dKH,South America (Amazon Basin),Safe,Symphysodon discus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Discus Snakeskin Red (Large).html,DI21
Discus Snakeskin Red (Medium),Semi-aggressive,"4""",29 Gallon,Intricate labyrinth blue lines over a deep solid red base,"Omnivore. Frozen Blood Heart, Hikari Frozen Bloodworms, Sera Discus Granules, VibraBites","Snakeskin discus pattern; same temperament and planted-tank suitability. Pristine, warm water essential.",82-90°F,6.5-7.0,1-4 dKH,South America (Amazon Basin),Safe,Symphysodon discus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Discus Snakeskin Red (Medium).html,DI20
Discus Tiger Yellow (Large),Semi-aggressive,"6""",55 Gallon,Bright yellow base highlighted with vertical red tiger bands,"Omnivore. Frozen Blood Heart, Hikari Frozen Bloodworms, Sera Discus Granules, VibraBites",Tiger Yellow discus; same care requirements as all discus. Sensitive and needs pristine water. Excellent in planted tanks.,82-90°F,6.5-7.0,1-4 dKH,South America (Amazon Basin),Safe,Symphysodon discus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Discus Tiger Yellow (Large).html,DI23
Discus Tiger Yellow (Medium),Semi-aggressive,"4""",29 Gallon,Bright yellow base highlighted with vertical red tiger bands,"Omnivore. Frozen Blood Heart, Hikari Frozen Bloodworms, Sera Discus Granules, VibraBites",Tiger Yellow discus; same care requirements as all discus. Sensitive and needs pristine water. Excellent in planted tanks.,82-90°F,6.5-7.0,1-4 dKH,South America (Amazon Basin),Safe,Symphysodon discus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Discus Tiger Yellow (Medium).html,DI22
Eel Fire Eel (Large),Semi-aggressive,"36""",100 Gallon,Dark charcoal body with brilliant fire-red stripes/spots,"Carnivore. Hikari Frozen bloodworms, Frozen Mysis Shrimp","Large, predatory eel growing to 40""; will eat small fish and shrimp. Peaceful with similarly sized fish. May burrow and disturb plant roots; use well-anchored hardy plants.",77-82°F,6.5-7.5,5-12 dKH,Southeast Asia,Caution,Mastacembelus erythrotaenia,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Eel Fire Eel (Large).html,EL02
Eel Fire Eel (Small),Semi-aggressive,"6""",29 Gallon,Dark charcoal body with brilliant fire-red stripes/spots,"Carnivore. Hikari Frozen bloodworms, Frozen Mysis Shrimp","Large, predatory eel growing to 40""; will eat small fish and shrimp. Peaceful with similarly sized fish. May burrow and disturb plant roots; use well-anchored hardy plants.",77-82°F,6.5-7.5,5-12 dKH,Southeast Asia,Caution,Mastacembelus erythrotaenia,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Eel Fire Eel (Small).html,EL01
Eel Peacock Eel (Small),Peaceful; may eat very small fish,"10-12""",55 Gallon,Brown/olive with eyespot pattern along body,"Carnivore. Hikari Frozen bloodworms, Frozen Mysis Shrimp",Nocturnal burrower; needs soft sand substrate; hides by day; may eat very small fish/shrimp,75-82°F,6.0-7.5,2-10 dKH,Southeast Asia,Safe,Macrognathus siamensis,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Eel Peacock Eel (Small).html,EL03
Eel Ropefish (Large),Peaceful,"12""",55 Gallon,Long reed-like olive green body; yellowish belly,"Carnivore. Hikari Frozen bloodworms, Frozen Mysis Shrimp",Ropefish are peaceful with fish too large to eat. Not plant-eaters. Nocturnal and needs a tight-fitting lid as it is an escape artist.,77-82°F,6.5-7.5,4-12 dKH,West Africa,Safe,Erpetoichthys calabaricus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Eel Ropefish (Large).html,EL06
Eel Ropefish (Small),Peaceful,"6""",29 Gallon,Long reed-like olive green body; yellowish belly,"Carnivore. Hikari Frozen bloodworms, Frozen Mysis Shrimp",Ropefish are peaceful with fish too large to eat. Not plant-eaters. Nocturnal and needs a tight-fitting lid as it is an escape artist.,77-82°F,6.5-7.5,4-12 dKH,West Africa,Safe,Erpetoichthys calabaricus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Eel Ropefish (Small).html,EL05
Eel Tire Track Eel,Semi-aggressive,"30""",29 Gallon,Light tan body covered in a heavy dark maze/tire track pattern,"Carnivore. Hikari Frozen bloodworms, Frozen Mysis Shrimp","Predatory eel; eats small fish. Burrower — may uproot plants. Use robust, anchored plants. Grows to 24 Inches or more.",77-82°F,6.5-7.5,5-15 dKH,Southeast Asia / India,Caution,Mastacembelus armatus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Eel Tire Track Eel.html,EL07
Eel Tire Track Eel (Small),"Semi-aggressive, predatory","24-36"" (large adult)",55 Gallon,Tan/brown with dark tire-track pattern,"Carnivore. Hikari Frozen bloodworms, Frozen Mysis Shrimp","Grows very large; needs a big tank long-term; sand substrate; predatory, will eat small fish",75-86°F,6.0-7.5,2-12 dKH,South and Southeast Asia,Safe,Mastacembelus armatus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Eel Tire Track Eel (Small).html,EL07
Eel Yellowtail (Large),Semi-aggressive,"6""",29 Gallon,Dark grey slender body accented by bright yellow tail fin,"Carnivore. Hikari Frozen bloodworms, Frozen Mysis Shrimp","Semi-aggressive, predatory eel. Plant-disturbing burrower; use hardy rooted plants.",77-82°F,6.5-7.5,5-12 dKH,South Asia,Caution,Macrognathus pancalus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Eel Yellowtail (Large).html,EL10
Eel Yellowtail (Small),Semi-aggressive,"4""",29 Gallon,Dark grey slender body accented by bright yellow tail fin,"Carnivore. Hikari Frozen bloodworms, Frozen Mysis Shrimp","Semi-aggressive, predatory eel. Plant-disturbing burrower; use hardy rooted plants.",77-82°F,6.5-7.5,5-12 dKH,South Asia,Caution,Macrognathus pancalus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Eel Yellowtail (Small).html,7966059
Eel Zebra (Extra Large),Semi-aggressive,"48""",200 Gallon,Dark body with thin vertical cream zebra lines,"Carnivore. Hikari Frozen bloodworms, Frozen Mysis Shrimp",Burrowing eel; predatory toward small fish. May disturb plants — use well-anchored species.,77-82°F,6.5-7.5,5-12 dKH,Myanmar,Caution,Mastacembelus zebrinus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Eel Zebra (Extra Large).html,EL16
Eel Zebra (Large),Semi-aggressive,"36""",150 Gallon,Dark body with thin vertical cream zebra lines,"Carnivore. Hikari Frozen bloodworms, Frozen Mysis Shrimp",Burrowing eel; predatory toward small fish. May disturb plants — use well-anchored species.,77-82°F,6.5-7.5,5-12 dKH,Myanmar,Caution,Mastacembelus zebrinus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Eel Zebra (Large).html,EL12
Eel Zebra (Medium),Semi-aggressive,"24""",55 Gallon,Dark body with thin vertical cream zebra lines,"Carnivore. Hikari Frozen bloodworms, Frozen Mysis Shrimp",Burrowing eel; predatory toward small fish. May disturb plants — use well-anchored species.,77-82°F,6.5-7.5,5-12 dKH,Myanmar,Caution,Mastacembelus zebrinus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Eel Zebra (Medium).html,1607731
Eel Zebra (Small),Semi-aggressive,"24""",55 Gallon,Dark body with thin vertical cream zebra lines,"Carnivore. Hikari Frozen bloodworms, Frozen Mysis Shrimp",Burrowing eel; predatory toward small fish. May disturb plants — use well-anchored species.,77-82°F,6.5-7.5,5-12 dKH,Myanmar,Caution,Mastacembelus zebrinus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Eel Zebra (Small).html,EL11
Eel Zig Zag (Small),"Semi-aggressive, predatory","24-36"" (large adult)",55 Gallon,Tan/brown with zig-zag banded pattern,"Carnivore. Hikari Frozen bloodworms, Frozen Mysis Shrimp","Grows very large; needs a big tank long-term; sand substrate; predatory, will eat small fish",75-86°F,6.0-7.5,2-12 dKH,South and Southeast Asia,Safe,Mastacembelus armatus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Eel Zig Zag (Small).html,EL13
Elephant Nose,Semi-aggressive,"9""",50 Gallon,"Uniform dark brown/black with a long, flexible trunk appendage","Carnivore/Predator. High-protein floating/sinking predator pellets, krill, silversides, freeze-dried shrimp, or frozen bloodworms depending on fish size.","Peaceful, intelligent fish with a sensitive electrical organ. Best in species tanks or with non-electric fish. Plant-safe.",73-82°F,6.5-7.2,4-10 dKH,Central/West Africa,Safe,Gnathonemus petersii,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Elephant Nose.html,MI07
Frog African Dwarf,Peaceful,"1.5-2""",10 Gallon,"Olive-brown, mottled","Omnivore. HIkari Frozen Bloodworms, Hikari Brine",Fully aquatic frog; needs access to the surface for air; feed sinking pellets/frozen food; keep with peaceful small fish,72-80°F,6.5-7.5,4-10 dKH,Central Africa,Safe,Hymenochirus boettgeri,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Frog African Dwarf.html,D848152
Frogs,Peaceful,"1.5""",10 Gallon,Mottled olive/brown webbed feet (Dwarf African Frog),"Omnivore. HIkari Frozen Bloodworms, Hikari Brine",Aquatic dwarf frogs (African Dwarf Frog assumed); peaceful and plant-safe. Do not eat plants. Keep in groups of 2 or more.,72-82°F,6.8-7.6,4-12 dKH,Central Africa,Safe,Hymenochirus boettgeri (African Dwarf Frog),https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Frogs.html,MI08
Garra Black,Peaceful,"3.5""",30 Gallon,Uniformly dark charcoal or black body.,"Carnivore. Sera Pleco Chips, Hikari Algae Wafers",Peaceful algae grazer; excellent for planted tanks. Cleans algae from leaves without harming plants.,78-82°F,6.5-7.5,4-12 dKH,South America (Colombia/Venezuela),Safe,Garra poecilura,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Garra Black.html,3157526
Ghost Knife,Semi-aggressive,"18""",55 Gallon,Solid jet black body with two white rings on tail; white blaze on nose,"Carnivore. Hikari Frozen Food, Hikari Food Sticks","Peaceful, nocturnal fish growing to 20 inches or more. Will eat very small fish. Does not eat plants. Needs 100 or more gallons tank as an adult.",77-82°F,6.8-7.6,4-10 dKH,South America,Safe,Apteronotus albifrons,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Ghost Knife.html,MI10
Ghost Knife (Large),Semi-aggressive,"18""",55 Gallon,Solid jet black body with two white rings on tail; white blaze on nose,"Carnivore. Hikari Frozen Food, Hikari Food Sticks","Peaceful, nocturnal fish growing to 20 inches or more. Will eat very small fish. Does not eat plants. Needs 100 or more gallons tank as an adult.",77-82°F,6.8-7.6,4-10 dKH,South America,Safe,Apteronotus albifrons,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Ghost Knife (Large).html,6572950
Goby Blue Cobalt,Semi-aggressive,"2""",10 Gallon,Brilliant shimmering metallic solid neon cobalt blue head/body,"Omnivore/Micropredator. High-quality small sinking pellets, frozen daphnia, cyclops, and baby brine shrimp.","Small, lively goby. May be territorial with own kind. Plant-safe.",72-80°F,6.5-7.5,4-10 dKH,Southeast Asia / Indonesia,Safe,Stiphodon semoni,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Goby Blue Cobalt.html,MI11
Goby Red Lip,Semi-aggressive,"2.5""",10 Gallon,Grey body accented by bright neon red-orange lips and face trim,"Omnivore/Micropredator. High-quality small sinking pellets, frozen daphnia, cyclops, and baby brine shrimp.",Semi-aggressive goby; territorial. Plant-safe.,72-80°F,6.5-7.5,4-10 dKH,Southeast Asia / Indonesia,Safe,Sicyopus rubro V,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Goby Red Lip.html,MI13
Gold Cloud,Peaceful,"1.5""",10 Gallon,Bright golden-yellow variant with neon red fin markings,Omnivore. Sera San Color Flakes,"Peaceful, small tetra. Plant-safe. Keep in groups of 6 or more.",76-82°F,6.6-7.4,2-8 dKH,South America (Amazon Basin),Safe,Characidae sp.,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Gold Cloud.html,TE25
Gourami Chocolate,Peaceful,"2.5""",10 Gallon,Deep brown body accented by fine golden vertical trim bars,"Omnivore. Sera San Color Flakes, Hikari Frozen Bloodworms, Hikari Frozen Brine Shrimp",Shy and delicate. Best kept in a species-only or very gentle community. Sensitive to water quality; not a beginner fish.,76-82°F,6.0-7.4,1-4 dKH,"Southeast Asia (Borneo, Sumatra)",Safe,Sphaerichthys osphromenoides,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Gourami Chocolate.html,GO01
Gourami Dwarf,Peaceful,"3.5""",10 Gallon,Alternating brilliant neon blue and orange vertical bars,"Omnivore. Sera San Color Flakes, Hikari Frozen Bloodworms, Hikari Frozen Brine Shrimp",Generally calm and community-friendly. Males can be mildly territorial with each other; keep one male per tank or in a spacious setup.,76-82°F,6.0-7.4,4-10 dKH,"South Asia (India, Pakistan)",Safe,Trichogaster lalius,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Gourami Dwarf.html,GO02
Gourami Dwarf Fire Honey,Peaceful,"2""",10 Gallon,Solid golden honey-orange body with translucent fins,"Omnivore. Sera San Color Flakes, Hikari Frozen Bloodworms, Hikari Frozen Brine Shrimp",One of the most docile gouramis. Excellent community fish; avoids conflict with tankmates. Males may spar briefly during breeding.,76-82°F,6.0-7.4,4-10 dKH,"South Asia (India, Pakistan)",Safe,Trichogaster lalius,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Gourami Dwarf Fire Honey.html,GO03
Gourami Dwarf Powder Blue,Peaceful,"3.5""",10 Gallon,Solid high-gloss metallic solid powder sky blue,"Omnivore. Sera San Color Flakes, Hikari Frozen Bloodworms, Hikari Frozen Brine Shrimp",Color variant of the Dwarf Gourami; same peaceful temperament. Minor male-to-male rivalry possible.,76-82°F,6.0-7.4,4-10 dKH,"South Asia (India, Pakistan)",Safe,Trichogaster lalius,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Gourami Dwarf Powder Blue.html,GO04
Gourami Glo,Peaceful,"6""",10 Gallon,Fluorescent bright lime green or electric pink,"Omnivore. Sera San Color Flakes, Hikari Frozen Bloodworms, Hikari Frozen Brine Shrimp",Fluorescent variant typically based on Paradise or Dwarf Gourami. Peaceful community fish; behavior mirrors the base species.,76-82°F,6.0-7.4,4-10 dKH,"South Asia (India, Pakistan)",Safe,Trichogaster lalius,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Gourami Glo.html,GO05
Gourami Gold,Semi-aggressive,"6""",10 Gallon,Bright golden-yellow with pale yellow marbling,"Omnivore. Sera San Color Flakes, Hikari Frozen Bloodworms, Hikari Frozen Brine Shrimp","Color morph of the Three-spot Gourami. Can be territorial and nippy, especially males. Best with robust fish of similar size. May nibble soft plants; use hardy species.",76-82°F,6.0-7.4,4-15 dKH,Southeast Asia,Caution,Trichopodus trichopterus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Gourami Gold.html,GO06
Gourami Kissing,"Semi-aggressive, territorial","10-12""",55 Gallon,Pink or green (wild-type),"Omnivore. Sera San Color Flakes, Hikari Frozen Bloodworms, Hikari Frozen Brine Shrimp",Grows larger than most buyers expect; needs a spacious tank; labyrinth fish needing surface access,75-82°F,6.0-8.0,5-15 dKH,Southeast Asia,Not safe (grazes algae/plants),Helostoma temminckii,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Gourami Kissing.html,GO08
Gourami Kissing Pink,Semi-aggressive,"10""",10 Gallon,Pale uniform pinkish-flesh color; modified puckered mouth,"Omnivore. Sera San Color Flakes, Hikari Frozen Bloodworms, Hikari Frozen Brine Shrimp","Pink/albino variant of Kissing Gourami; identical plant-grazing and semi-aggressive behavior. Grows large (up to 12 inches). Use only Java fern, Java moss, or plastic plants.",76-82°F,6.0-7.4,4-12 dKH,Southeast Asia,Unsafe,Helostoma temminckii,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Gourami Kissing Pink.html,GO09
Gourami Opaline,Semi-aggressive,"6""",10 Gallon,Marbled slate-blue body with darker blue cloud patterns,"Omnivore. Sera San Color Flakes, Hikari Frozen Bloodworms, Hikari Frozen Brine Shrimp","Three-spot Gourami variant; can be quite aggressive and territorial, especially males. May nibble soft plants; use hardy species.",76-82°F,6.0-7.4,4-15 dKH,Southeast Asia,Caution,Trichopodus trichopterus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Gourami Opaline.html,GO11
Gourami Paradise Blue,Semi-aggressive,"4""",10 Gallon,Red and blue vertical bars with an iridescent blue tail gill spot,"Omnivore. Sera San Color Flakes, Hikari Frozen Bloodworms, Hikari Frozen Brine Shrimp","Beautiful but aggressive, especially toward their own kind and similar-looking fish. May damage delicate plants; use robust species.",76-82°F,6.0-7.4,5-15 dKH,East Asia,Caution,Macropodus opercularis,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Gourami Paradise Blue.html,GO13
Gourami Pearl,Peaceful,"5""",10 Gallon,Reddish brown covered in thousands of uniform pearlescent lace spots,"Omnivore. Sera San Color Flakes, Hikari Frozen Bloodworms, Hikari Frozen Brine Shrimp",One of the most peaceful gouramis; excellent community fish. Plant-safe and thrives in planted tanks.,76-82°F,6.0-7.4,4-12 dKH,Southeast Asia,Safe,Trichopodus leerii,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Gourami Pearl.html,GO14
Gourami Pearl (Large),"Peaceful, semi-shy","4-5""",29 Gallon,Silver with pearlescent spots; orange throat on males,"Omnivore. Sera San Color Flakes, Hikari Frozen Bloodworms, Hikari Frozen Brine Shrimp",Peaceful labyrinth fish; needs surface access; does well with floating plants for cover,77-82°F,6.0-7.5,2-10 dKH,Southeast Asia,Safe,Trichopodus leerii,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Gourami Pearl (Large).html,GO14L
Gourami Red Flame,Peaceful,"3.5""",10 Gallon,Fiery orange-red body with a solid neon blue dorsal fin,"Omnivore. Sera San Color Flakes, Hikari Frozen Bloodworms, Hikari Frozen Brine Shrimp",Red Flame Gourami (color variant of Dwarf/Honey); peaceful and plant-safe. Excellent community fish.,76-82°F,6.0-7.4,4-10 dKH,"South Asia (India, Pakistan)",Safe,Trichogaster lalius,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Gourami Red Flame.html,GO15
Gourami Small Pearl,Peaceful,"5""",10 Gallon,Reddish brown covered in thousands of uniform pearlescent lace spots,"Omnivore. Sera San Color Flakes, Hikari Frozen Bloodworms, Hikari Frozen Brine Shrimp",Smaller pearl gourami; same peaceful temperament as standard Pearl Gourami. Plant-safe and excellent in planted tanks.,76-82°F,6.0-7.4,4-12 dKH,Southeast Asia,Safe,Trichopodus leerii,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Gourami Small Pearl.html,GO16
Gourami Sunset,Peaceful,"3.5""",10 Gallon,Deep orange body with a glowing turquoise throat,"Omnivore. Sera San Color Flakes, Hikari Frozen Bloodworms, Hikari Frozen Brine Shrimp",Sunset gourami (honey variant); very peaceful. Excellent in planted community tanks.,76-82°F,6.0-7.4,4-10 dKH,"South Asia (India, Pakistan)",Safe,Trichogaster lalius,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Gourami Sunset.html,GO17
Guppy (Female),Peaceful,"2.5""",10 Gallon,Assorted dull grey bodies with small colorful tail fins,Sera San Color Flakes,Peaceful livebearer; excellent community fish. Plant-safe and benefits from planted tanks.,76-82°F,6.0-7.4,8-15 dKH,South America / Caribbean (Domesticated),Safe,Poecilia reticulata,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Guppy (Female).html,LB03
Guppy (Male),Peaceful,"2""",10 Gallon,Assorted intense multi-color tails and delta dorsal fins,Sera San Color Flakes,Peaceful but males can chase females relentlessly; maintain 2:1 female-to-male ratio. Plant-safe.,76-84°F,7.0-8.5,8-15 dKH,South America / Caribbean (Domesticated),Safe,Poecilia reticulata,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Guppy (Male).html,LB01
Guppy Blue (Metallic),Peaceful,"3.5""",10 Gallon,Deep orange body with a glowing turquoise throat,Sera San Color Flakes,Sunset gourami (honey variant); very peaceful. Excellent in planted community tanks.,76-82°F,6.0-7.4,4-10 dKH,"South Asia (India, Pakistan)",Safe,Trichogaster lalius,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Guppy Blue (Metallic).html,415528G
Guppy Red Head Dumbo (Male),Peaceful,"2""",10 Gallon,"Brilliant red face/tail with oversized, dark pectoral elephant fins",Sera San Color Flakes,Red Head Dumbo guppy — fancy variety; peaceful and plant-safe. Maintain 2:1 female-to-male ratio.,76-84°F,6.5-7.2,4-10 dKH,South America (Colombia),Safe,Geophagus steindachneri,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Guppy Red Head Dumbo (Male).html,LB06
Guppy Red Head Tuxedo (Male),Peaceful,"2""",10 Gallon,Bright red head with a solid half-black tuxedo body jacket,Sera San Color Flakes,Red Head Tuxedo guppy — fancy variety; peaceful and plant-safe. Maintain 2:1 female-to-male ratio.,76-84°F,6.5-7.2,4-10 dKH,South America (Colombia),Safe,Geophagus steindachneri,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Guppy Red Head Tuxedo (Male).html,LB08
Guppy Red Tail Dumbo (Male),Peaceful,"2""",10 Gallon,Bright red fan tail fin; massive blue/charcoal pectoral wing fins,Sera San Color Flakes,Fancy guppy variety; peaceful and plant-safe. Maintain 2:1 female-to-male ratio.,76-84°F,7.0-8.5,8-15 dKH,South America / Caribbean (Domesticated),Safe,Poecilia reticulata,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Guppy Red Tail Dumbo (Male).html,LB04
Killi,Peaceful,"2.5""",5 Gallon,"Assorted hyper-colorful patterns (red, blue, gold mosaic)","Omnivore. Hikari Vibra Bites,, Hikari Betta Food, Hikari Frozen Bloodworms, Hikari Frozen Brine",Most killifish are peaceful and plant-safe. Excellent in planted tanks; may jump — use tight-fitting lid.,68-78°F,6.0-7.0,2-8 dKH,Africa / Americas,Safe,Aphyosemion / Fundulopanchax sp.,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Killi.html,MS15
Loach Burma Border (Large),Peaceful,"8""",55 Gallon,Alternating fine tan and dark brown vertical tiger bars,"Herbivore. Sera San Color Flakes, Sera Vipachips, Hikari Frozen Brine, Hikari Frozen Bloodworms","Peaceful, social loach. Keep in groups. Plant-safe.",77-82°F,6.8-7.6,4-12 dKH,Myanmar,Safe,Botia kubotai,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Loach Burma Border (Large).html,141398P
Loach Burma Border (Medium),"Semi-aggressive, active; best in groups","4-5""",29 Gallon,Black and yellow reticulated pattern,"Herbivore. Sera San Color Flakes, Sera Vipachips, Hikari Frozen Brine, Hikari Frozen Bloodworms",Keep in groups of 5+; needs caves/hiding spots; will eat snails,75-82°F,6.0-7.5,2-12 dKH,Myanmar (Burma),Safe,Botia kubotai,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Loach Burma Border (Medium).html,LO02
Loach Burma Border (Small),Peaceful,"4""",29 Gallon,Alternating fine tan and dark brown vertical tiger bars,"Herbivore. Sera San Color Flakes, Sera Vipachips, Hikari Frozen Brine, Hikari Frozen Bloodworms","Peaceful, social loach. Keep in groups. Plant-safe.",77-82°F,6.8-7.6,4-12 dKH,Myanmar,Safe,Botia kubotai,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Loach Burma Border (Small).html,LO01
Loach Clown (Large),Peaceful,"12""",100 Gallon,Bright orange body with three broad black vertical triangular stripes,"Herbivore. Sera San Color Flakes, Sera Vipachips, Hikari Frozen Brine, Hikari Frozen Bloodworms",Peaceful schooling loach; grows large (up to 12 Inches). May dig and disturb plant roots. Use well-anchored robust plants. Keep in groups of 3 or more.,77-86°F,6.0-7.6,4-10 dKH,"Indonesia (Borneo, Sumatra)",Caution,Chromobotia macracanthus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Loach Clown (Large).html,LO05
Loach Clown (Medium),Peaceful,"6""",55 Gallon,Bright orange body with three broad black vertical triangular stripes,"Herbivore. Sera San Color Flakes, Sera Vipachips, Hikari Frozen Brine, Hikari Frozen Bloodworms",Peaceful schooling loach; grows large (up to 12 Inches). May dig and disturb plant roots. Use well-anchored robust plants. Keep in groups of 3 or more.,77-86°F,6.0-7.6,4-10 dKH,"Indonesia (Borneo, Sumatra)",Caution,Chromobotia macracanthus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Loach Clown (Medium).html,LO04
Loach Clown (Small),Peaceful,"3""",29 Gallon,Bright orange body with three broad black vertical triangular stripes,"Herbivore. Sera San Color Flakes, Sera Vipachips, Hikari Frozen Brine, Hikari Frozen Bloodworms",Peaceful schooling loach; grows large (up to 12 Inches). May dig and disturb plant roots. Use well-anchored robust plants. Keep in groups of 3 or more.,77-86°F,6.0-7.6,4-10 dKH,"Indonesia (Borneo, Sumatra)",Caution,Chromobotia macracanthus,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Loach Clown (Small).html,LO03
Loach Hillstream,Peaceful,"3""",29 Gallon,Flat guitar-shaped gold body covered in small dark leopard rings,"Herbivore. Sera San Color Flakes, Sera Vipachips, Hikari Frozen Brine, Hikari Frozen Bloodworms",Peaceful algae-grazer; attaches to rocks and glass. Does not eat plants; great for planted tanks. Needs high oxygen and moderate current.,68-75°F,6.5-7.5,4-10 dKH,Vietnam,Safe,Sewellia lineolata,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Loach Hillstream.html,LO06
Loach Horse Face,Peaceful,"8""",29 Gallon,Elongated sandy-grey body with a long horse-like snout,"Herbivore. Sera San Color Flakes, Sera Vipachips, Hikari Frozen Brine, Hikari Frozen Bloodworms",Peaceful; a burrower that may disturb substrate and plant roots. Use well-anchored plants.,77-82°F,6.8-7.6,4-10 dKH,Southeast Asia,Caution,Acantopsis dialuzona,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Loach Horse Face.html,LO07
Loach Kuhli,Peaceful,"4""",29 Gallon,Worm-like body with alternating orange and black banded segments,"Herbivore. Sera San Color Flakes, Sera Vipachips, Hikari Frozen Brine, Hikari Frozen Bloodworms","Kuhli Loach — peaceful, shy, eel-like bottom dweller. Excellent community fish. Plant-safe. Keep in groups of 3 or more.",73-86°F,5.5-7.0,3-8 dKH,Southeast Asia,Safe,Pangio semicincta,https://bubba751.github.io/Freshwater-Fish-HTML-Files-V3/Loach Kuhli.html,LO08
